Marka,Model,Yıl,Kilometre,Renk,Fiyat,Vites_Tipi
Volkswagen, Golf ,2020,73000,Lacivert,1295000,Otomatik
Volkswagen, Golf ,2010,211000,Siyah,959000,Otomatik
Volkswagen, Golf ,2008,143000,Siyah,950000,Otomatik
Volkswagen, Golf ,2017,163000,Gri,1265000,Otomatik
Volkswagen, Golf ,2012,137000,Beyaz,690000,Otomatik
Volkswagen, Golf ,2011,131100,Beyaz,889000,Otomatik
Volkswagen, Golf ,2016,193000,Füme,975000,Otomatik
Volkswagen, Golf ,2016,173000,Beyaz,910000,Otomatik
Volkswagen, Golf ,2021,29000,Beyaz,1659000,Otomatik
Volkswagen, Golf ,2010,205000,Siyah,729000,Otomatik
Volkswagen, Golf ,2004,272000,Gri,440000,Düz
Volkswagen, Golf ,2015,145000,Beyaz,980000,Otomatik
Volkswagen, Golf ,2014,172000,Beyaz,995000,Otomatik
Volkswagen, Golf ,2024,7000,Gri,1845000,Otomatik
Volkswagen, Golf ,2016,178000,Beyaz,975000,Otomatik
Volkswagen, Golf ,2004,255000,Gri,399750,Düz
Volkswagen, Golf ,2011,230000,Beyaz,749999,Otomatik
Volkswagen, Golf ,2001,180000,Gri,520000,Düz
Volkswagen, Golf ,2018,63500,Beyaz,1215000,Otomatik
Volkswagen, Golf ,2007,195000,Gri (Gümüş),440000,Düz
Volkswagen, Passat ,2013,285000,Gri (metalik),835000,Otomatik
Volkswagen, Passat ,1998,371000,Gri (Gümüş),340000,Düz
Volkswagen, Passat ,2021,95000,Gri,1690000,Otomatik
Volkswagen, Passat ,1997,365000,Yeşil,310000,Düz
Volkswagen, Passat ,2019,36000,Gri,1925000,Otomatik
Volkswagen, Passat ,2019,105555,Gri (Gümüş),970000,Otomatik
Volkswagen, Passat ,2019,264000,Siyah,1150000,Otomatik
Volkswagen, Passat ,2019,235000,Beyaz,1250000,Otomatik
Volkswagen, Passat ,2016,199000,Gri (Gümüş),1385000,Otomatik
Volkswagen, Passat ,2017,188000,Beyaz,1175000,Otomatik
Volkswagen, Passat ,2018,95000,Füme,1450000,Otomatik
Volkswagen, Passat ,2016,161500,Gri,1350000,Otomatik
Volkswagen, Passat ,2006,398000,Siyah,535000,Düz
Volkswagen, Passat ,2020,73000,Beyaz,1700000,Otomatik
Volkswagen, Passat ,2018,217000,Siyah,1385000,Otomatik
Volkswagen, Passat ,2019,205000,Mavi (metalik),1865000,Otomatik
Volkswagen, Passat ,2017,170000,Gri,1340000,Otomatik
Volkswagen, Passat ,2006,317000,Gri,525000,Düz
Volkswagen, Passat ,2019,135000,Beyaz,1515000,Otomatik
Volkswagen, Passat ,2021,112500,Siyah,2047000,Otomatik
Volkswagen, Polo,2009,112000,Gri,678000,Düz
Volkswagen, Polo,2010,172500,Beyaz,599000,Düz
Volkswagen, Polo,2018,86000,Kırmızı,665000,Düz
Volkswagen, Polo,2022,32500,Beyaz,1225000,Otomatik
Volkswagen, Polo,2016,79000,Kırmızı,890000,Otomatik
Volkswagen, Polo,2014,129000,Beyaz,699000,Otomatik
Volkswagen, Polo,2016,112000,Kırmızı,838750,Otomatik
Volkswagen, Polo,2014,193000,Beyaz,535000,Otomatik
Volkswagen, Polo,2017,235000,Beyaz,575000,Otomatik
Volkswagen, Polo,2022,54950,Mavi,1215000,Otomatik
Volkswagen, Polo,2015,80150,Beyaz,859750,Otomatik
Volkswagen, Polo,2009,183000,Gri (Gümüş),500000,Düz
Volkswagen, Polo,2013,197109,Siyah,612000,Otomatik
Volkswagen, Polo,2000,211000,Mavi,315000,Düz
Volkswagen, Polo,2013,220000,Beyaz,640000,Düz
Volkswagen, Polo,2001,230000,Kırmızı,270000,Düz
Volkswagen, Polo,1998,325000,Beyaz,300000,Otomatik
Volkswagen, Polo,2021,70000,Beyaz,1149000,Otomatik
Volkswagen, Polo,2016,157000,Beyaz,699900,Otomatik
Volkswagen, Polo,2022,85000,Beyaz,998900,Otomatik
Volkswagen,Tiguan ,2020,48250,Lacivert,2349000,Otomatik
Volkswagen,Tiguan ,2018,74000,Beyaz,1595000,Otomatik
Volkswagen,Tiguan ,2022,16500,Mavi (metalik),1875000,Otomatik
Volkswagen,Tiguan ,2021,70000,Beyaz,1599000,Otomatik
Volkswagen,Tiguan ,2013,135000,Beyaz,1100000,Otomatik
Volkswagen,Tiguan ,2016,77000,Beyaz,1579750,Otomatik
Volkswagen,Tiguan ,2010,178000,Siyah,725000,Otomatik
Volkswagen,Tiguan ,2009,211000,Beyaz,750000,Düz
Volkswagen,Tiguan ,2012,152000,Beyaz,1075000,Otomatik
Volkswagen,Tiguan ,2009,160500,Siyah,780000,Otomatik
Volkswagen,Tiguan ,2009,140000,Beyaz,855000,Otomatik
Volkswagen,Tiguan ,2012,133000,Siyah,915000,Otomatik
Volkswagen,Tiguan ,2012,165000,Beyaz,860000,Otomatik
Volkswagen,Tiguan ,2019,238000,Gri,1770000,Otomatik
Volkswagen,Tiguan ,2019,76464,Füme,1615000,Otomatik
Volkswagen,Tiguan ,2017,130000,Siyah,1545000,Otomatik
Volkswagen,Tiguan ,2023,42000,Mavi,2189000,Otomatik
Volkswagen,Tiguan ,2014,97847,Gri,1142500,Otomatik
Volkswagen,Tiguan ,2019,101170,Beyaz,1499000,Otomatik
Volkswagen,Tiguan ,2013,319000,Beyaz,710000,Otomatik
Audi,A6 ,2007,359000,Siyah,788000,Düz
Audi,A3 ,2010,181000,Siyah,640000,Düz
Audi,A5 ,2014,370000,Beyaz,1050000,Otomatik
Audi,A3,2010,273000,Siyah,460000,Düz
Audi,A3,2016,134000,Siyah,1140000,Otomatik
Audi,A3,2012,64000,Beyaz,1149750,Otomatik
Audi,A3,2016,198500,Beyaz,975000,Otomatik
Audi,A5 ,2024,10000,Beyaz,4425000,Otomatik
Audi,A3,2020,95800,Gri,1589750,Otomatik
Audi,A4,2014,210000,Gri,1290000,Otomatik
Audi,A6 ,2015,258000,Gri,1899000,Otomatik
Audi,A3,2015,220000,Beyaz,1175000,Otomatik
Audi,A4,2004,370000,Gri,415000,Düz
Audi,A3,2006,300000,Füme,510000,Düz
Audi,A6 ,2016,268000,Beyaz,1850000,Otomatik
Audi,A3,2014,142000,Beyaz,1095000,Otomatik
Audi,A6 ,2016,195000,Siyah,2275000,Otomatik
Audi,A4,2014,224000,Beyaz,1850000,Otomatik
Audi,A6 ,2011,287000,Gri,1150000,Otomatik
Audi,A3,2013,169000,Siyah,1065000,Otomatik
BMW,320i ,2020,98000,Beyaz,2550000,Otomatik
BMW,320i ,2020,98500,Beyaz,2515000,Otomatik
BMW,320i ,2022,48000,Mavi,2820000,Otomatik
BMW,320i ,2009,279000,Beyaz,657000,Otomatik
BMW,320i ,2021,83500,Beyaz,2675000,Otomatik
BMW,320i ,2012,267000,Beyaz,1130000,Otomatik
BMW,320i ,2023,49250,Gri,3150000,Otomatik
BMW,320i ,2008,305000,Siyah,580000,Otomatik
BMW,320i ,1995,327000,Kırmızı,325000,Otomatik
BMW,320i ,2021,77000,Siyah,2500000,Otomatik
BMW,320i ,2021,20000,Beyaz,3000000,Otomatik
BMW,320i ,2022,20000,Gri,3200000,Otomatik
BMW,320i ,2020,41250,Gri,2575000,Otomatik
BMW,320i ,1994,391000,Siyah,425000,Otomatik
BMW,320i ,1993,390000,Siyah,530000,Otomatik
BMW,320i ,1992,500000,Beyaz,330000,Otomatik
BMW,320i ,2005,390000,Siyah,650000,Otomatik
BMW,320i ,2007,425000,Siyah,610000,Otomatik
BMW,320i ,2020,73250,Siyah,2375000,Otomatik
BMW,X5 ,2011,50000,Gri,2800000,Otomatik
BMW,X5 ,2014,184000,Siyah,2099000,Otomatik
BMW,X5 ,2018,112772,Beyaz,2999000,Otomatik
BMW,X5 ,2002,192000,Gri,825000,Otomatik
BMW,X5 ,2015,173000,Beyaz,2250000,Otomatik
BMW,X5 ,2004,328000,Gri,935000,Otomatik
BMW,X5 ,2015,250000,Kahverengi,2600000,Otomatik
BMW,X5 ,2010,153000,Siyah,1695000,Otomatik
BMW,X5 ,2009,309000,Siyah,1265000,Otomatik
BMW,X5 ,2006,425000,Siyah,870000,Otomatik
BMW,X5 ,2005,374500,Siyah,755000,Otomatik
BMW,X5 ,2010,223000,Gri,1080000,Otomatik
BMW,X5 ,2013,176000,Siyah,1965000,Otomatik
BMW,X5 ,2008,343000,Siyah,1250000,Otomatik
BMW,X5 ,2016,229000,Beyaz,2499023,Otomatik
BMW,X5 ,2017,109000,Beyaz,2975000,Otomatik
BMW,X5 ,2009,265000,Beyaz,1475000,Otomatik
BMW,X5 ,2004,400000,Siyah,589000,Otomatik
BMW,X5 ,2015,173000,Beyaz,2170000,Otomatik
BMW,X5 ,2017,239000,Beyaz,2485000,Otomatik
BMW,X5 ,2016,160061,Beyaz,2500000,Otomatik
BMW,X5 ,2015,165423,Beyaz,2525000,Otomatik
Mercedes,C 180,2016,133000,Beyaz,1850000,Otomatik
Mercedes,C 180,2010,340000,Beyaz,815000,Otomatik
Mercedes,C 180,2010,281000,Siyah,1040000,Otomatik
Mercedes,C 180,2009,223000,Beyaz,975000,Otomatik
Mercedes,C 180,2013,200000,Beyaz,1125000,Otomatik
Mercedes,C 180,2018,58000,Beyaz,3250000,Otomatik
Mercedes,C 180,2012,201958,Beyaz,1075000,Otomatik
Mercedes,C 180,1994,444000,Beyaz,380000,Otomatik
Mercedes,C 180,2011,225000,Gri,1250000,Otomatik
Mercedes,C 180,2014,141000,Beyaz,1850000,Otomatik
Mercedes,C 180,2019,111000,Gri,1550000,Otomatik
Mercedes,C 180,2020,112000,Beyaz,1600000,Otomatik
Mercedes,C 180,2021,113000,Gri,1650000,Otomatik
Mercedes,C 180,2015,114000,Beyaz,1700000,Otomatik
Mercedes,C 180,2016,115000,Gri,1750000,Otomatik
Mercedes,C 180,2017,116000,Beyaz,1800000,Otomatik
Mercedes,C 180,2018,117000,Gri,1850000,Otomatik
Mercedes,C 180,2019,118000,Beyaz,1900000,Otomatik
Mercedes,C 180,2020,119000,Gri,1950000,Otomatik
Mercedes,C 180,2021,120000,Beyaz,2000000,Otomatik
Mercedes,E 220 ,2017,82000,Beyaz,2850000,Otomatik
Mercedes,E 220 ,2012,145000,Gri,1390000,Otomatik
Mercedes,E 220 ,2015,97000,Siyah,2150000,Otomatik
Mercedes,E 220 ,2019,54000,Lacivert,3350000,Otomatik
Mercedes,E 220 ,2018,63000,Beyaz,2950000,Otomatik
Mercedes,E 220 ,2005,290000,Gümüş,585000,Otomatik
Mercedes,E 220 ,2020,41000,Siyah,3700000,Otomatik
Mercedes,E 220 ,2016,101000,Gri,1900000,Otomatik
Mercedes,E 220 ,2011,189000,Beyaz,1280000,Otomatik
Mercedes,E 220 ,2013,159000,Lacivert,1720000,Otomatik
Mercedes,E 220 ,2018,76500,Siyah,2880000,Otomatik
Mercedes,E 220 ,2019,78000,Beyaz,2960000,Otomatik
Mercedes,E 220 ,2020,79500,Siyah,3040000,Otomatik
Mercedes,E 220 ,2021,81000,Siyah,3120000,Otomatik
Mercedes,E 220 ,2022,82500,Beyaz,3200000,Otomatik
Mercedes,E 220 ,2015,84000,Siyah,3280000,Otomatik
Mercedes,E 220 ,2016,85500,Siyah,3360000,Otomatik
Mercedes,E 220 ,2017,87000,Beyaz,3440000,Otomatik
Mercedes,E 220 ,2018,88500,Siyah,3520000,Otomatik
Mercedes,E 220 ,2019,90000,Siyah,3600000,Otomatik
Mercedes,E 220 ,2020,91500,Beyaz,3680000,Otomatik
Mercedes,E 220 ,2021,93000,Siyah,3760000,Otomatik
Honda ,Elegance,2021,40700,Bordo,1620000,Otomatik
Honda ,Elegance,2020,64000,Beyaz,1465000,Otomatik
Honda ,Elegance,2020,68000,Beyaz,1315000,Otomatik
Honda ,Elegance,2006,230000,Siyah,545000,Otomatik
Honda ,Elegance,2022,56000,Siyah,1665000,Otomatik
Honda ,Elegance,2021,43100,Beyaz,1575000,Otomatik
Honda ,Elegance,1998,416000,Beyaz,265000,Düz
Honda ,Elegance,2009,320000,Siyah,600000,Düz
Honda ,Elegance,2020,65000,Beyaz,1390000,Yarı Otomatik
Honda ,Elegance,2007,300000,Siyah,585000,Otomatik
Honda ,Elegance,2011,102000,Beyaz,875000,Otomatik
Honda ,Dream,2010,216000,Gri,669000,Düz
Honda ,Dream,2012,257000,Beyaz,735000,Otomatik
Honda ,Dream,2014,356000,Beyaz,775000,Otomatik
Honda ,Dream,2015,313000,Beyaz,719000,Otomatik
Honda ,Dream,1999,299000,Bordo,385000,Otomatik
Honda ,Dream,2012,161000,Beyaz,1010000,Otomatik
Honda ,Dream,2017,191000,Beyaz,1115000,Otomatik
Honda ,Dream,1996,375500,Diğer,250000,Düz
Honda ,Dream,2012,213000,Beyaz,750000,Otomatik
Honda ,Dream,2016,134000,Beyaz,1205000,Otomatik
Honda ,Dream,2010,275000,Siyah,610000,Düz
Toyota,Corolla ,2019,45000,Beyaz,1150000,Otomatik
Toyota,Corolla ,2020,60000,Gri,1200000,Otomatik
Toyota,Corolla ,2018,75000,Siyah,1100000,Manuel
Toyota,Corolla ,2017,90000,Mavi,950000,Otomatik
Toyota,Corolla ,2016,100000,Kırmızı,900000,Manuel
Toyota,Corolla ,2015,110000,Beyaz,850000,Otomatik
Toyota,Corolla ,2014,120000,Gri,800000,Otomatik
Toyota,Corolla ,2013,130000,Siyah,750000,Manuel
Toyota,Corolla ,2012,140000,Mavi,700000,Otomatik
Toyota,Corolla ,2011,150000,Kırmızı,650000,Manuel
Toyota,Corolla ,2010,160000,Beyaz,600000,Otomatik
Toyota,Corolla ,2009,170000,Gri,550000,Otomatik
Toyota,Corolla ,2008,180000,Siyah,500000,Manuel
Toyota,Corolla ,2007,190000,Mavi,450000,Otomatik
Toyota,Corolla ,2006,200000,Kırmızı,400000,Manuel
Toyota,Corolla ,2005,210000,Beyaz,350000,Otomatik
Toyota,Corolla ,2004,220000,Gri,300000,Otomatik
Toyota,Corolla ,2003,230000,Siyah,250000,Manuel
Toyota,Corolla ,2002,240000,Mavi,200000,Otomatik
Toyota,Corolla ,2001,250000,Kırmızı,150000,Manuel
Toyota,C-HR ,2022,25000,Beyaz,1420000,Otomatik
Toyota,C-HR ,2021,31000,Gri,1380000,Otomatik
Toyota,C-HR ,2020,47000,Siyah,1340000,Otomatik
Toyota,C-HR ,2019,58000,Lacivert,1290000,Otomatik
Toyota,C-HR ,2018,69000,Kırmızı,1200000,Otomatik
Toyota,C-HR ,2017,74000,Gümüş,1150000,Otomatik
Toyota,C-HR ,2019,51000,Beyaz,1180000,Otomatik
Toyota,C-HR ,2018,86000,Siyah,1090000,Otomatik
Toyota,C-HR ,2021,39000,Gri,1375000,Otomatik
Toyota,C-HR ,2017,92000,Kahverengi,1050000,Otomatik
Toyota,C-HR ,2020,45000,Turuncu,1320000,Otomatik
Toyota,C-HR ,2019,72000,Mavi,1275000,Otomatik
Toyota,C-HR ,2018,83000,Beyaz,1110000,Otomatik
Toyota,C-HR ,2017,91000,Gri,1060000,Otomatik
Toyota,C-HR ,2018,76000,Lacivert,1210000,Otomatik
Toyota,C-HR ,2017,96000,Siyah,990000,Otomatik
Toyota,C-HR ,2022,22000,Gümüş,1450000,Otomatik
Toyota,C-HR ,2021,33000,Kırmızı,1390000,Otomatik
Toyota,C-HR ,2019,50000,Mavi,1175000,Otomatik
Toyota,C-HR ,2020,40000,Gri,1330000,Otomatik
Toyota,C-HR ,2022,24000,Beyaz,1435000,Otomatik
Toyota,C-HR ,2020,48000,Turuncu,1250000,Otomatik
